Link Page,Items,Price,Discount,Sale Price
https://www.modanisa.com/en/black-modest-dress-mizalle-8812833.html,Mizalle - Black - Modest Dress - MIZALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/black-knit-dresses-benguen-8975326.html,Benguen - Black - Knit Dresses - Benguen,$ 56.99,35%,$ 37.04
https://www.modanisa.com/en/camel-knit-dresses-benguen-8975325.html,Benguen - Camel - Knit Dresses - Benguen,$ 56.99,35%,$ 37.04
https://www.modanisa.com/en/stone-color-knit-dresses-benguen-8975328.html,Benguen - Stone Color - Knit Dresses - Benguen,$ 56.99,35%,$ 37.04
https://www.modanisa.com/en/emerald-knit-dresses-benguen-8977549.html,Benguen - Emerald - Knit Dresses - Benguen,$ 56.99,35%,$ 37.04
https://www.modanisa.com/en/tan-modest-dress-bestenur-8516758.html,Bestenur - Binay Elastic Waist Button Detail Leather Modest Dress Taba,$ 105.99,35%,$ 68.89
https://www.modanisa.com/en/dark-blue-modest-dress-hafsa-mina-8802238.html,Hafsa mina - Dark Blue - Modest Dress - Hafsa Mina,$ 104.99,35%,$ 68.24
https://www.modanisa.com/en/black-modest-dress-missvalle-8721731.html,Missvalle - Black - Modest Dress - MISSVALLE,$ 104.99,35%,$ 68.24
https://www.modanisa.com/en/caramel-unlined-modest-dress-ceylan-otantik-8456407.html,Ceylan otantik - Caramel - Unlined - Modest Dress - Ceylan Otantik,$ 104.99,35%,$ 68.24
https://www.modanisa.com/en/mink-modest-dress-missvalle-8721690.html,Missvalle - Mink - Modest Dress - MISSVALLE,$ 104.99,35%,$ 68.24
https://www.modanisa.com/en/green-crew-neck-modest-dress-allday-8439562.html,Allday - Green - Crew neck - Modest Dress - ALLDAY,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/emerald-modest-dress-missvalle-8805991.html,Missvalle - Emerald - Modest Dress - MISSVALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/gray-crew-neck-modest-dress-allday-8439592.html,Allday - Gray - Crew neck - Modest Dress - ALLDAY,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/bitter-modest-dress-instyle-8543580.html,Instyle - InStyle Bitter Modest Dress,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/blue-v-neck-collar-modest-dress-mizalle-8272033.html,Mizalle - Blue - V neck Collar - Modest Dress - MIZALLE,$ 106.99,35%,$ 69.54
https://www.modanisa.com/en/baby-blue-modest-dress-in-style-8046138.html,Instyle - Baby Blue - Modest Dress - In Style,$ 106.99,35%,$ 69.54
