Item,Price,ImageURL
"Dell VRTX 4x M630 M640 Blade Server Chassis Enclosure 25x 2,5"" SFF Storage 4x PSU 4x FAN MGMT","Price excl. VAT:741,18 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-vrtx-4x-m630-m640-blade-server-chassis-enclosure-25x-25-sff-storage-4x-psu-4x-fan-mgmt.jpg
"Dell PowerEdge R830 19"" 2U 16x 2,5"" SFF 4x Intel XEON E5-4600 v3 v4 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:707,56 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r830-19-2u-16x-25-sff-4x-intel-xeon-e5-4600-v3-v4-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge T640 8x 3,5"" LFF 2x Intel XEON Scalable LGA3647 Server PERC SAS SATA Raid vmware Rack Server 2x HotSwap PSU","Price excl. VAT:1.252,10 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-t640-8x-35-lff-2x-intel-xeon-scalable-lga3647-server-perc-sas-sata-raid-vmware-rack-server-2x-hotswap-psu.jpg
"Dell PowerEdge R750xs 2U Server 12x 3,5"" LFF SAS 2x Intel XEON Scalable LGA4189 DDR4 ECC Raid 2x PSU","Price excl. VAT:2.454,62 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r750xs-2u-server-12x-35-lff-sas-2x-intel-xeon-scalable-lga4189-ddr4-ecc-raid-2x-psu.jpg
"Dell PowerEdge R640 19"" 1U Server 4x 3,5"" LFF 2x Intel XEON Scalable LGA3647 DDR4 ECC PERC Raid 2x PSU 3x low Profile","Price excl. VAT:413,45 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r640-19-1u-server-4x-35-lff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-perc-raid-2x-psu-3x-low-profile.jpg
"Dell PowerEdge R740xd 19"" 2U 16x 3,5"" LFF + 4x 2,5"" SFF rear bay 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:783,19 €",/images/no_img_thumbnail.jpg
"Dell PowerEdge R750xs 2U Server 16x 2,5"" SFF SAS 2x Intel XEON Scalable LGA4189 DDR4 ECC Raid 2x PSU","Price excl. VAT:2.706,72 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r750xs-2u-server-16x-25-sff-sas-2x-intel-xeon-scalable-lga4189-ddr4-ecc-raid-2x-psu.jpg
"Dell PowerEdge R650 1U Server 8x 2,5"" SFF SATA SAS NVMe 2x Intel XEON Scalable LGA4189 DDR4 ECC Raid 2x PSU","Price excl. VAT:2.874,79 €",/images/no_img_thumbnail.jpg
"Dell PowerEdge R350 19"" 1U 8x 2,5"" SFF Intel XEON E-2300 PERC SAS SATA Raid 2x PSU vmware  Server -CTO-","Price excl. VAT:942,02 €",/images/no_img_thumbnail.jpg
"Dell PowerEdge R650 1U Server 10x 2,5"" SFF SATA SAS NVMe 2x Intel XEON Scalable LGA4189 DDR4 ECC Raid 2x PSU","Price excl. VAT:2.874,79 €",/images/no_img_thumbnail.jpg
"Dell PowerEdge R7525 2U Server 16x 2,5"" SFF SAS SATA 2x AMD EPYC Gen2 Gen3 DDR4 ECC Raid 2x PSU","Price excl. VAT:2.454,62 €",/images/no_img_thumbnail.jpg
